id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
danss-soup-and-san-missoula,Dans's Soup and San,['soup'],46.843208,-114.028351,MT,"32 Campus Dr, Missoula, MT 59812",3874.0128778585176,4.0,8,False,No,Yes,Yes,Yes,,,,,,Yes,Yes,Casual,,,No,No,Free,No,,,,,1
noodle-express-missoula-2,Noodle Express,['chinese'],46.882893,-114.022377,MT,"32 Campus Dr, Missoula, MT 59812",3719.529564609942,3.5,17,False,No,,Yes,Yes,,Lunch,,No,Yes,Yes,No,Casual,Casual,Average,No,No,,No,,No,,,1
bamboo-chopstix-missoula,Bamboo Chopstix,['chinese'],46.8372993,-114.0100327,MT,"32 Campus Dr, Missoula, MT 59812",3307.1842244231066,3.5,15,False,No,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,,No,Free,No,,Yes,No,,2
howards-pizza-villa-missoula,Howard's Pizza Villa,['pizza'],46.849064,-114.028831,MT,"32 Campus Dr, Missoula, MT 59812",3612.148972175783,4.0,16,False,No,Yes,Yes,Yes,,Dinner,Private Lot,,Yes,Yes,Yes,Casual,,Average,No,No,,Yes,,Yes,Yes,,1
jimmy-johns-missoula,Jimmy John's,['sandwiches'],46.873352,-113.992752,MT,"32 Campus Dr, Missoula, MT 59812",1458.1115203401444,3.0,10,False,No,Yes,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,,No,Yes,,1
laughing-grizzly-bar-and-grill-casino-missoula-2,Laughing Grizzly Bar & Grill,"['casinos', 'bars', 'breakfast_brunch']",46.8862559,-114.0253937,MT,"32 Campus Dr, Missoula, MT 59812",4137.536839561534,3.0,17,False,Yes,No,Yes,Yes,,"Breakfast, Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,No,Yes,Yes,,2
rubys-cafe-missoula,Ruby's Cafe,['sandwiches'],46.8512917,-114.0151901,MT,"32 Campus Dr, Missoula, MT 59812",2549.548451679829,3.5,18,False,No,No,Yes,Yes,,Breakfast,Private Lot,Yes,Yes,Yes,Yes,Casual,,Quiet,No,No,No,No,,Yes,No,,1
taco-del-sol-missoula,Taco del Sol,['mexican'],46.8734894,-113.9929504,MT,"32 Campus Dr, Missoula, MT 59812",1468.9251879455867,3.5,36,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,,No,Yes,,1
romaines-missoula,Romaines,"['newamerican', 'salad', 'soup']",46.893304538469,-114.040998481214,MT,"32 Campus Dr, Missoula, MT 59812",5547.474560416785,4.5,11,False,No,No,Yes,Yes,,,,Yes,No,Yes,Yes,Casual,,Average,Beer & Wine Only,Yes,No,No,,No,No,,1
wheat-montana-missoula,Wheat Montana,['sandwiches'],46.8672905,-114.0400467,MT,"32 Campus Dr, Missoula, MT 59812",4249.2592720961775,3.5,13,False,No,No,Yes,Yes,,Breakfast,Private Lot,Yes,Yes,Yes,Yes,Casual,,Average,No,Yes,,No,,No,,,1
