id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
kfc-west-lafayette,KFC,"['hotdogs', 'chicken_wings']",40.453,-86.9158,IN,"610 Purdue Mall, West Lafayette, IN 47907",2755.100436039781,2.0,2,False,No,No,Yes,Yes,,,,,,Yes,Yes,Casual,,,,,,No,,,,Yes,1
en-lai-chinese-kitchen-lafayette,En Lai Chinese Kitchen,['chinese'],40.3956299,-86.8681412,IN,"610 Purdue Mall, West Lafayette, IN 47907",5198.334076737787,1.5,6,False,No,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,No,No,No,Yes,,No,,,2
don-pablos-restaurant-lafayette,Don Pablo's Restaurant,['mexican'],40.418396,-86.839523,IN,"610 Purdue Mall, West Lafayette, IN 47907",6431.687341514483,3.0,36,False,No,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,No,,Yes,,,2
christos-new-city-grill-lafayette,Christos New City Grill,['tradamerican'],40.395088,-86.858185,IN,"610 Purdue Mall, West Lafayette, IN 47907",6020.146547071376,3.0,15,False,No,No,Yes,Yes,,"Breakfast, Dessert",Private Lot,No,,Yes,Yes,Casual,Casual,Loud,No,No,No,Yes,,Yes,Yes,,2
panini-deli-lafayette,Panini Deli,"['italian', 'delis']",40.4177302122116,-86.8606989830732,IN,"610 Purdue Mall, West Lafayette, IN 47907",4691.2857183563,3.5,2,False,,,Yes,Yes,,,,,Yes,Yes,Yes,Casual,,,No,No,,,,Yes,,,1
chipotle-mexican-grill-lafayette-3,Chipotle Mexican Grill,"['mexican', 'hotdogs']",40.418270111084,-86.8294296264648,IN,"610 Purdue Mall, West Lafayette, IN 47907",7277.025078372825,4.0,16,False,No,No,Yes,Yes,,Lunch,Private Lot,No,,Yes,Yes,Casual,Casual,Very Loud,Beer & Wine Only,Yes,,No,,No,Yes,No,1
moes-southwest-grill-lafayette,Moes Southwest Grill,['mexican'],40.414387,-86.839447,IN,"610 Purdue Mall, West Lafayette, IN 47907",6542.987141798741,3.0,5,False,No,No,Yes,Yes,,,,No,,Yes,Yes,Casual,,Average,Beer & Wine Only,No,Free,Yes,,No,Yes,,1
pizza-king-lafayette,Pizza King,['pizza'],40.432453,-86.872055,IN,"610 Purdue Mall, West Lafayette, IN 47907",3613.7759111629016,3.0,1,False,,,,,,,,,,,,,,,,,,,,,,,2
the-outpost-catering-by-sgt-prestons-lafayette,The Outpost Catering by Sgt Preston's,"['restaurants', 'catering']",40.3920154402014,-86.90245243927,IN,"610 Purdue Mall, West Lafayette, IN 47907",4153.526370021052,3.0,2,False,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,Yes,,1
guadalajara-mexican-grocery-west-lafayette,Guadalajara Mexican Grocery,"['mexican', 'grocery']",40.4677467,-86.9491501,IN,"610 Purdue Mall, West Lafayette, IN 47907",5378.460575886841,5.0,1,False,,,,,,,,,,,,,,,,,,,,,,,
parkway-pizza-and-subs-lafayette,Parkway Pizza & Subs,['pizza'],40.4170422698735,-86.8569574613435,IN,"610 Purdue Mall, West Lafayette, IN 47907",5018.873642853545,3.5,3,False,,Yes,Yes,Yes,,,,,,Yes,,Casual,,Average,,,,Yes,,,,,1
little-mexico-lafayette,Little Mexico,['mexican'],40.413587,-86.857385,IN,"610 Purdue Mall, West Lafayette, IN 47907",5093.583789562443,3.5,30,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,Yes,,1
south-side-diner-lafayette,South Side Diner,['tradamerican'],40.3680038,-86.8708878,IN,"610 Purdue Mall, West Lafayette, IN 47907",8031.562232711499,4.0,21,False,No,No,Yes,Yes,,"Breakfast, Brunch",Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,No,No,No,,Yes,No,,1
pizza-arnis-shadeland-lafayette,Pizza-Arni's Shadeland,['pizza'],40.3716800361872,-86.9524600356817,IN,"610 Purdue Mall, West Lafayette, IN 47907",4023.010879438191,4.0,1,False,,,,,,,,,,,,,,,,,,,,,,,
b-and-n-diner-lafayette,B & N Diner,"['breakfast_brunch', 'diners']",40.3946263267885,-86.856247888365,IN,"610 Purdue Mall, West Lafayette, IN 47907",6181.260273154477,3.5,4,False,No,No,No,No,,Brunch,,No,,Yes,No,Casual,,Average,No,Yes,,No,,Yes,No,,2
pappys-restaurant-lafayette,Pappy's Restaurant,['restaurants'],40.4174423217773,-86.8546142578125,IN,"610 Purdue Mall, West Lafayette, IN 47907",5527.21643124725,4.0,1,False,,,,Yes,,,,,,No,,,,,,,,,,,,,
pizza-express-west-lafayette,Pizza Express,['pizza'],40.423168,-86.90786,IN,"610 Purdue Mall, West Lafayette, IN 47907",742.3819610636731,4.0,2,False,,,,,,,,,,,,,,,,,,,,,,,1
el-rodeo-lafayette-2,El Rodeo,['mexican'],40.386463,-86.900879,IN,"610 Purdue Mall, West Lafayette, IN 47907",4784.788619919801,3.0,5,False,No,No,Yes,Yes,,,,,Yes,Yes,Yes,Casual,,,Full Bar,No,No,,,Yes,,,2
monicals-pizza-west-lafayette,Monical's Pizza,['pizza'],40.4667015,-86.9548111,IN,"610 Purdue Mall, West Lafayette, IN 47907",5425.194069864361,3.5,9,False,Yes,Yes,Yes,Yes,,Lunch,,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,,Yes,No,,2
tgi-fridays-lafayette,TGI Fridays,['tradamerican'],40.4168973863125,-86.8390388041735,IN,"610 Purdue Mall, West Lafayette, IN 47907",6522.506521380327,3.5,12,False,No,No,Yes,Yes,,Lunch,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,No,,2
papa-murphys-takenbake-pizza-lafayette,Papa Murphy's Take'n'bake Pizza,['pizza'],40.3955402970314,-86.8686537444592,IN,"610 Purdue Mall, West Lafayette, IN 47907",5333.358472092986,5.0,1,False,No,No,,,,,,,,,,,,,,,,,,,,,
red-lobster-lafayette-3,Red Lobster,"['seafood', 'tradamerican']",40.4161002,-86.838943,IN,"610 Purdue Mall, West Lafayette, IN 47907",6528.0120772986,3.0,5,False,Yes,No,Yes,Yes,,,,No,No,Yes,Yes,Casual,,Average,Full Bar,No,No,No,,Yes,No,,2
university-inn-conference-center-and-suites-west-lafayette,University Inn-Conference Center & Suites,"['hotels', 'restaurants']",40.4599991,-86.9358826,IN,"610 Purdue Mall, West Lafayette, IN 47907",3885.884432929807,1.0,1,False,,,,,,,,,,,,,,,,,,,,,,,
