id,name,categories,latitude,longitude,state,college,distance_from_college,rating,acadamic_rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
kiyoko-express-college-park,Kiyoko Express,"['japanese', 'chinese']",38.979971983,-76.9377098962,MD,"University of Maryland College Park, 20740",686.2847509242,3.5,3.5,40,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Garage,No,Yes,Yes,No,Casual,Casual,Average,No,No,Free,Yes,,No,Yes,,2
king-kong-restaurant-hyattsville,King Kong Restaurant,['chinese'],38.9845848,-76.9688187,MD,"University of Maryland College Park, 20740",2754.6956544452,4.5,NA,7,False,No,Yes,Yes,Yes,,,,Yes,,No,Yes,Casual,,Average,Full Bar,Yes,,Yes,,Yes,,,2
pollo-fiesta-riverdale,Pollo Fiesta,['mexican'],38.9655991,-76.9191895,MD,"University of Maryland College Park, 20740",2779.1159444689,3.5,4,22,False,No,No,Yes,Yes,,Lunch,Private Lot,,Yes,Yes,Yes,Casual,,Average,No,No,,Yes,,Yes,,,1
rasoi-restaurant-college-park,Rasoi Restaurant,"['indpak', 'buffets', 'catering']",38.996124,-76.930915,MD,"University of Maryland College Park, 20740",1220.1740505623,4,4.5,9,False,Yes,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Loud,Full Bar,,,Yes,,Yes,,,2
pizza-bolis-college-park,Pizza Boli's,"['pizza', 'italian', 'sandwiches']",38.991249,-76.932746,MD,"University of Maryland College Park, 20740",705.0844887941,2,NA,24,False,No,Yes,Yes,Yes,,"Dinner, Late Night",Private Lot,Yes,Yes,Yes,No,Casual,,Average,No,No,No,Yes,,No,Yes,,1
old-dominion-brewhouse-hyattsville,Old Dominion Brewhouse,"['tradamerican', 'breweries']",38.9687524552,-76.9529784658,MD,"University of Maryland College Park, 20740",2360.2061631798,3,2.5,40,False,Yes,No,Yes,Yes,,Late Night,Garage,Yes,Yes,Yes,Yes,Casual,Hipster,Loud,Full Bar,No,Free,Yes,,Yes,No,,2
chipotle-mexican-grill-greenbelt,Chipotle Mexican Grill,"['mexican', 'hotdogs']",38.9985768308,-76.9121921994,MD,"University of Maryland College Park, 20740",2574.1699599936,4,1.5,32,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,Yes,No,No,,No,Yes,No,1
china-buffet-college-park,China Buffet,"['chinese', 'buffets']",39.003407,-76.931084,MD,"University of Maryland College Park, 20740",1994.2225018794,2.5,2.5,20,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,,Average,No,No,No,No,,Yes,No,,1
outback-steakhouse-hyattsville-2,Outback Steakhouse,['steak'],38.9670792,-76.9592438,MD,"University of Maryland College Park, 20740",2677.4708818105,3,NA,46,False,Yes,No,Yes,Yes,,Dinner,Private Lot,No,,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,Yes,,2
pupuseria-el-comalito-riverdale-park,Pupuseria El Comalito,['salvadoran'],38.9618568,-76.9396362,MD,"University of Maryland College Park, 20740",2717.2115334189,3.5,3.5,20,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,,,Yes,Yes,Casual,Casual,Average,No,Yes,,Yes,,Yes,Yes,,1
unforgettable-flavors-college-park,Unforgettable Flavors,['caribbean'],39.017098,-76.939749,MD,"University of Maryland College Park, 20740",3449.2454969142,4.5,NA,101,False,Yes,Yes,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,No,Yes,Yes,,2
qdoba-mexican-grill-hyattsville,Qdoba Mexican Grill,"['mexican', 'hotdogs']",38.9676895,-76.9523773,MD,"University of Maryland College Park, 20740",2429.5588361057,3.5,2.5,27,False,No,No,Yes,Yes,,Lunch,Garage,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,Yes,,No,Yes,No,1
adeles-college-park,Adele's,['tradamerican'],38.9875262939,-76.9447982311,MD,"University of Maryland College Park, 20740",665.3255675273,2.5,NA,16,False,No,No,Yes,Yes,,Lunch,,Yes,Yes,No,Yes,Casual,,Average,No,No,,No,,Yes,No,,2
busboys-and-poets-hyattsville,Busboys and Poets,"['vegan', 'breakfast_brunch', 'coffee']",38.9551129003,-76.9400374369,MD,"University of Maryland College Park, 20740",3457.6648407126,4,4,351,False,No,No,Yes,Yes,,Brunch,Street,Yes,,Yes,Yes,Casual,Hipster,Average,Full Bar,Yes,Free,Yes,,Yes,Yes,,2
mulligans-grill-and-pub-college-park,Mulligan's Grill and Pub,['tradamerican'],38.995707,-76.955137,MD,"University of Maryland College Park, 20740",1872.4579158275,3,1,5,False,Yes,,Yes,Yes,,,,,,,Yes,Casual,,Average,Full Bar,Yes,Free,,,Yes,,,2
dominos-pizza-college-park-2,Domino's Pizza,"['pizza', 'chicken_wings', 'sandwiches']",38.9798012,-76.9381256,MD,"University of Maryland College Park, 20740",701.3780299928,1.5,NA,13,False,No,Yes,Yes,Yes,,,,No,Yes,Yes,No,Formal (Jacket Required),,Quiet,No,No,No,No,,No,No,,1
adele-h-stamp-student-union-college-park,Adele H. Stamp Student Union,"['collegeuniv', 'venues', 'hotdogs']",38.9881553902,-76.9447402284,MD,"University of Maryland College Park, 20740",680.2289422392,3,4,1,False,No,No,No,Yes,,,Garage,Yes,Yes,Yes,Yes,Casual,,,,Yes,Paid,Yes,,,Yes,No,1
