id,name,categories,latitude,longitude,state,college,distance_from_college,rating,acadamic_rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
seva-restaurant-ann-arbor-2,Seva Restaurant,"['vegetarian', 'vegan']",42.2810014,-83.7822946,MI,"500 S State St, Ann Arbor, MI 48109",3413.181873918,3.5,43,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Street,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,No,,Yes,,,2,
anthonys-gourmet-pizza-ann-arbor-3,Anthony's Gourmet Pizza,['pizza'],42.2959328,-83.7808685,MI,"500 S State St, Ann Arbor, MI 48109",3862.1015806665,4.5,25,False,No,Yes,Yes,Yes,,"Lunch, Dinner",,No,,Yes,Yes,Casual,Divey,Average,No,No,,No,,Yes,Yes,,2,
bigalora-wood-fired-cucina-ann-arbor,Bigalora Wood Fired Cucina,"['italian', 'pizza']",42.2573318,-83.699295,MI,"500 S State St, Ann Arbor, MI 48109",4152.5864053704,3.5,106,False,Yes,No,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Trendy,Loud,Full Bar,Yes,No,Yes,,Yes,,,2,
seoul-garden-ann-arbor,Seoul Garden,"['sushi', 'korean', 'diners']",42.242302,-83.734138,MI,"500 S State St, Ann Arbor, MI 48109",3831.2439394289,3.5,154,False,Yes,No,Yes,Yes,,Dinner,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,Yes,,2,
pizza-pino-ann-arbor,Pizza Pino,['pizza'],42.2793999,-83.7508163,MI,"500 S State St, Ann Arbor, MI 48109",847.7697281379,2.5,44,False,No,Yes,Yes,Yes,,"Lunch, Dinner, Late Night",Private Lot,Yes,Yes,Yes,Yes,Casual,,Quiet,No,Yes,Free,Yes,,No,,,2,
chipotle-mexican-grill-ann-arbor-3,Chipotle Mexican Grill,"['hotdogs', 'mexican']",42.2793197632,-83.7404403687,MI,"500 S State St, Ann Arbor, MI 48109",349.6697844142,3.5,47,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,,Loud,No,No,,No,,No,Yes,No,1,
mediterrano-ann-arbor,Mediterrano,['mediterranean'],42.2449188,-83.7393951,MI,"500 S State St, Ann Arbor, MI 48109",3441.9048998523,3.5,64,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,No,,Yes,Yes,,2,
hillel-café-and-coffee-bar-ann-arbor,Hillel Café & Coffee Bar,"['kosher', 'coffee', 'newamerican']",42.272766,-83.730194,MI,"500 S State St, Ann Arbor, MI 48109",995.8864856918,4.5,4,False,Yes,No,Yes,Yes,,,"Street, Private Lot",,Yes,Yes,Yes,Casual,,Average,No,No,Free,No,No,No,Yes,,1,
marcos-pizza-ann-arbor-4,Marco's Pizza,['pizza'],42.2985481471,-83.7228711694,MI,"500 S State St, Ann Arbor, MI 48109",2906.1977722094,4.5,11,False,No,Yes,Yes,Yes,,,,,,Yes,Yes,Casual,,,,No,,,,No,,,2,
gourmet-garden-ann-arbor,Gourmet Garden,['chinese'],42.2751007,-83.7783966,MI,"500 S State St, Ann Arbor, MI 48109",3011.9920979896,3.5,45,False,Yes,Yes,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,Full Bar,No,No,No,,Yes,,,2,
the-quarter-bistro-and-tavern-ann-arbor,The Quarter Bistro & Tavern,"['cajun', 'seafood']",42.278389,-83.780907,MI,"500 S State St, Ann Arbor, MI 48109",3266.3498609805,3,83,False,Yes,No,Yes,Yes,,"Brunch, Dinner",Private Lot,No,Yes,No,Yes,Casual,Classy,Average,Full Bar,No,No,Yes,,Yes,Yes,,2,
argieros-italian-restaurant-ann-arbor,Argiero's Italian Restaurant,"['italian', 'pizza']",42.283332,-83.746284,MI,"500 S State St, Ann Arbor, MI 48109",890.2955663061,2.5,37,False,Yes,Yes,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,Full Bar,Yes,No,No,,Yes,,,2,
holidays-restaurant-ann-arbor,Holiday's Restaurant,['tradamerican'],42.2723999,-83.7749405,MI,"500 S State St, Ann Arbor, MI 48109",2799.5981786199,3.5,32,False,No,No,Yes,Yes,,Breakfast,Private Lot,Yes,No,Yes,Yes,Casual,Casual,Average,No,No,Free,No,,Yes,Yes,,1,
taco-king-ann-arbor,Taco King,['mexican'],42.2737389,-83.7771988,MI,"500 S State St, Ann Arbor, MI 48109",2966.5319158236,3.5,70,False,No,Yes,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,,Average,No,No,Free,No,,No,,,1,
stars-cafe-ann-arbor,Star's Cafe,['mideastern'],42.2808127105,-83.7817912549,MI,"500 S State St, Ann Arbor, MI 48109",3453.5884821702,4,38,False,No,No,Yes,Yes,,Lunch,Private Lot,,Yes,Yes,No,Casual,Casual,Average,No,No,Free,No,,No,Yes,,1,
elevation-burger-ann-arbor,Elevation Burger,"['burgers', 'vegetarian', 'newamerican']",42.256626,-83.692352,MI,"500 S State St, Ann Arbor, MI 48109",4580.9762311851,4,122,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,,No,No,No,1,
bar-louie-ann-arbor-3,Bar Louie,"['bars', 'newamerican']",42.2796442965,-83.7437925341,MI,"500 S State St, Ann Arbor, MI 48109",430.358711286,3,93,False,Yes,No,Yes,Yes,,"Dinner, Late Night",Street,Yes,Yes,No,Yes,Casual,Casual,Loud,Full Bar,Yes,Free,Yes,,Yes,No,,2,
tropical-smoothie-cafe-ann-arbor,Tropical Smoothie Cafe,"['cafes', 'juicebars', 'sandwiches']",42.2794179618,-83.7418410927,MI,"500 S State St, Ann Arbor, MI 48109",350.4779282752,3.5,15,False,No,No,Yes,Yes,,Lunch,,Yes,,Yes,Yes,Casual,,Quiet,No,Yes,,Yes,,No,,,1,
no-thai-ann-arbor-3,No Thai!,['thai'],42.2983879811,-83.7214410632,MI,"500 S State St, Ann Arbor, MI 48109",2955.9879678331,3,52,False,No,Yes,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,No,,1,
zingermans-next-door-ann-arbor,Zingerman's Next Door,"['coffee', 'breakfast_brunch', 'bakeries']",42.284592,-83.745071,MI,"500 S State St, Ann Arbor, MI 48109",993.3629818836,3.5,19,False,No,No,Yes,Yes,,Breakfast,,Yes,,Yes,Yes,Casual,,Average,No,Yes,Free,No,,No,Yes,,2,
zola-bistro-ann-arbor,Zola Bistro,['french'],42.2577004,-83.7004718,MI,"500 S State St, Ann Arbor, MI 48109",3942.246501184,3,96,False,Yes,No,Yes,Yes,,Brunch,Private Lot,Yes,,Yes,Yes,Casual,Hipster,Very Loud,Full Bar,Yes,Free,No,,Yes,Yes,,2,
arirang-ann-arbor,Arirang,['korean'],42.2407799,-83.770752,MI,"500 S State St, Ann Arbor, MI 48109",4456.1516913626,4,90,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,No,No,No,No,,Yes,,,2,
